Datum,Saal,Saal,Schiene,Vorstellung Start,Hauptfilm Start,Pause,Pause-Ende,Dialicht,Ende,2D/3D,Filmtitel,FSK,Aufräumzeit,Nächste Vorstellung,2D/3D,Filmtitel
22.09.2017,Corso 6,6,HV,20:45,21:04,21:57,21:57,22:48,22:54,2D,ANNABELLE 2,16,00:25,23:30,2D,ANNABELLE 2
22.09.2017,Corso 4,4,HV,20:45,21:03,21:46,21:46,22:37,22:44,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN,12,00:50,23:45,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN
22.09.2017,Corso 5,5,SV,23:00,23:18,23:50,23:50,00:51,01:00,3D,"THE LEGO NINJAGO MOVIE ",6,,,,
22.09.2017,Corso 2,2,SV,23:00,23:17,00:19,00:19,01:32,01:39,2D,KINGSMAN: THE GOLDEN CIRCLE,16,,,,
22.09.2017,Corso 1,1,SV,23:15,23:32,00:20,00:20,01:21,01:25,2D,BABY DRIVER,16,,,,
22.09.2017,Corso 8,8,SV,23:15,23:32,00:09,00:09,01:23,01:31,2D,KILLER'S BODYGUARD,16,,,,
22.09.2017,Corso 6,6,SV,23:30,23:49,00:42,00:42,01:33,01:39,2D,ANNABELLE 2,16,,,,
22.09.2017,Corso 7,7,SV,23:30,23:48,00:33,00:33,01:43,01:48,2D,LOGAN LUCKY,12,,,,
22.09.2017,Corso 3,3,SV,23:45,00:07,00:48,00:48,01:53,02:03,2D,BARRY SEAL: ONLY IN AMERICA,12,,,,
22.09.2017,Corso 4,4,SV,23:45,00:03,00:46,00:46,01:37,01:44,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN,12,,,,

23.09.2017,Corso 3,3,N1,14:00,14:15,15:17,15:29,16:42,16:48,2D,KINGSMAN: THE GOLDEN CIRCLE,16,00:16,17:15,2D,KINGSMAN: THE GOLDEN CIRCLE
23.09.2017,Corso 8,8,N1,14:00,14:18,14:59,15:12,16:17,16:26,2D,BARRY SEAL: ONLY IN AMERICA,12,00:23,17:00,2D,BABY DRIVER
23.09.2017,Corso 2,2,N1,14:15,14:31,15:02,15:14,16:15,16:25,3D,"THE LEGO NINJAGO MOVIE ",6,00:24,17:00,3D,"THE LEGO NINJAGO MOVIE "
23.09.2017,Corso 1,1,N1,14:30,14:45,15:38,15:50,16:20,16:29,3D,"EMOJI: DER FILM ",6,00:50,17:30,2D,BABY DRIVER
23.09.2017,Corso 6,6,N1,14:30,14:47,15:25,15:37,16:26,16:31,3D,"BIGFOOT JUNIOR ",6,00:48,17:30,2D,ANNABELLE 2
