Datum,Saal,Saal,Schiene,Vorstellung Start,Hauptfilm Start,Pause,Pause-Ende,Dialicht,Ende,2D/3D,Filmtitel,FSK,Aufräumzeit,Nächste Vorstellung,2D/3D,Filmtitel
18.09.2017,Cinemaxx 3,3,HV,20:15,20:36,21:27,21:39,22:35,22:44,2D,BARRY SEAL: ONLY IN AMERICA,12,,,,
18.09.2017,Cinemaxx 1,1,HV,20:15,20:30,21:12,21:24,22:24,22:32,2D,THE CIRCLE,12,,,,
18.09.2017,Cinemaxx 7,7,HV,20:30,20:48,21:37,21:50,22:55,22:59,2D,LOGAN LUCKY,12,,,,
18.09.2017,Cinemaxx 5,5,HV,20:30,20:48,21:40,21:52,22:52,22:59,2D,KILLER'S BODYGUARD,16,,,,
18.09.2017,Cinemaxx 8,8,HV,20:45,21:02,21:51,22:03,22:42,22:48,2D,HEREINSPAZIERT!,6,,,,
18.09.2017,Cinemaxx 4,4,HV,20:45,21:03,21:52,22:04,23:04,23:08,2D,BABY DRIVER,16,,,,

19.09.2017,Cinemaxx 2,2,N1,14:00,14:13,14:55,15:08,15:58,16:06,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN,12,00:43,17:00,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN
19.09.2017,Cinemaxx 7,7,N1,14:00,14:16,15:06,15:18,16:23,16:28,2D,LOGAN LUCKY,12,00:36,17:15,3D,"PLANET DER AFFEN: SURVIVAL "
19.09.2017,Cinemaxx 3,3,N1,14:15,14:34,15:25,15:37,16:32,16:42,2D,BARRY SEAL: ONLY IN AMERICA,12,00:22,17:15,2D,BARRY SEAL: ONLY IN AMERICA
19.09.2017,Cinemaxx 6,6,N1,14:15,14:32,15:11,15:23,16:12,16:17,3D,"BIGFOOT JUNIOR ",6,00:32,17:00,2D,ANNABELLE 2
19.09.2017,Cinemaxx 1,1,N1,14:30,14:48,15:41,15:53,16:23,16:32,3D,"EMOJI: DER FILM ",6,00:32,17:15,2D,THE CIRCLE
