Datum,Saal,Saal,Schiene,Vorstellung Start,Hauptfilm Start,Pause,Pause-Ende,Dialicht,Ende,2D/3D,Filmtitel,FSK,Aufräumzeit,Nächste Vorstellung,2D/3D,Filmtitel
13.10.2017,Gotthard 6,6,SV,23:00,23:19,,,01:34,01:41,2D,KINGSMAN: THE GOLDEN CIRCLE,16,,,,
13.10.2017,Gotthard 4,4,SV,23:15,23:34,,,01:13,01:23,2D,BORG/MCENROE,6,,,,
13.10.2017,Gotthard 2,2,SV,23:30,23:50,,,01:59,02:06,2D,ES,16,,,,
13.10.2017,Gotthard 7,7,SV,23:30,23:49,,,01:35,01:45,2D,BARRY SEAL: ONLY IN AMERICA,12,,,,
13.10.2017,Gotthard 5,5,SV,23:30,23:48,,,01:31,01:38,2D,ANNABELLE 2,16,,,,
13.10.2017,Gotthard 8,8,SV,23:45,00:00,,,01:35,01:38,2D,FLITZER,12,,,,
13.10.2017,Gotthard 3,3,SV,23:45,00:07,,,01:51,01:59,2D,AMERICAN ASSASSIN,16,,,,

14.10.2017,Gotthard 6,6,N1,14:00,14:16,14:54,15:06,15:56,16:01,3D,"BIGFOOT JUNIOR ",6,01:03,17:15,2D,FLITZER
14.10.2017,Gotthard 2,2,N1,14:00,14:17,15:19,15:31,16:10,16:18,3D,"CARS 3 - EVOLUTION ",6,00:31,17:00,2D,ES
14.10.2017,Gotthard 8,8,N1,14:15,14:28,15:09,15:21,16:15,16:18,2D,FLITZER,12,00:31,17:00,2D,KINGSMAN: THE GOLDEN CIRCLE
14.10.2017,Gotthard 1,1,N1,14:15,14:30,15:06,15:18,16:06,16:14,3D,"EMOJI: DER FILM ",6,00:50,17:15,3D,"CARS 3 - EVOLUTION "
14.10.2017,Gotthard 3,3,N1,14:30,14:46,15:43,15:55,16:29,16:39,2D,MY LITTLE PONY - DER FILM,4,00:40,17:30,2D,AMERICAN ASSASSIN
